Time,Send Rate
1,0
2,0
3,0
4,0
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,44
40,45
41,46
42,47
43,48
44,49
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,11
109,12
110,13
111,14
112,15
113,16
114,17
115,18
116,19
117,20
118,21
119,22
120,23
121,24
122,25
123,26
124,27
125,28
126,29
127,30
128,31
129,32
130,33
131,34
132,35
133,36
134,37
135,38
136,39
137,40
138,41
139,42
140,43
141,44
142,45
143,46
144,47
145,11
146,12
147,13
148,14
149,15
150,16
151,17
152,18
153,19
154,20
155,21
156,22
157,23
158,24
159,25
160,26
161,27
162,28
163,29
164,30
165,31
166,32
167,33
168,34
169,35
170,36
171,37
172,38
173,39
174,11
175,12
176,13
177,14
178,15
179,16
180,17
181,18
182,19
183,20
184,21
185,22
186,23
187,24
188,25
189,26
190,27
191,28
192,29
193,30
194,31
195,32
196,33
197,34
198,35
199,36
200,37
201,38
202,39
203,40
204,41
205,42
206,11
207,12
208,13
209,14
210,15
211,16
212,17
213,18
214,19
215,20
216,21
217,22
218,23
219,24
220,25
221,26
222,27
223,28
224,29
225,30
226,31
227,32
228,33
229,34
230,35
231,36
232,37
233,38
234,39
235,40
236,41
237,42
238,11
239,12
240,13
241,14
242,15
243,16
244,17
245,18
246,19
247,20
248,21
249,22
250,23
251,24
252,25
253,26
254,27
255,28
256,29
257,30
258,31
259,32
260,33
261,34
262,35
263,36
264,37
265,38
266,39
267,40
268,41
269,42
270,11
271,12
272,13
273,14
274,15
275,16
276,17
277,18
278,19
279,20
280,21
281,22
282,23
283,24
284,25
285,26
286,27
287,28
288,29
289,30
290,31
291,32
292,33
293,34
294,35
295,36
296,37
297,38
298,39
299,40
300,41
