Time,Send Rate
1,0
2,0
3,0
4,0
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,27
23,28
24,29
25,30
26,31
27,32
28,33
29,34
30,35
31,36
32,37
33,38
34,39
35,40
36,41
37,42
38,43
39,44
40,45
41,46
42,47
43,48
44,49
45,50
46,50
47,50
48,50
49,50
50,50
51,50
52,50
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,50
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,11
129,12
130,13
131,14
132,15
133,16
134,17
135,18
136,19
137,20
138,21
139,22
140,23
141,24
142,25
143,26
144,27
145,28
146,29
147,30
148,31
149,32
150,33
151,34
152,35
153,36
154,37
155,38
156,39
157,40
158,11
159,12
160,13
161,14
162,15
163,16
164,17
165,18
166,19
167,20
168,21
169,22
170,23
171,24
172,25
173,26
174,27
175,28
176,29
177,30
178,31
179,32
180,33
181,34
182,35
183,36
184,37
185,38
186,39
187,40
188,41
189,11
190,12
191,13
192,14
193,15
194,16
195,17
196,18
197,19
198,20
199,21
200,22
201,23
202,24
203,25
204,26
205,27
206,28
207,29
208,30
209,31
210,32
211,33
212,34
213,35
214,36
215,37
216,38
217,39
218,40
219,41
220,42
221,43
222,44
223,45
224,46
225,47
226,48
227,49
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,50
238,50
239,50
240,50
241,50
242,50
243,50
244,50
245,50
246,50
247,11
248,12
249,13
250,14
251,15
252,16
253,17
254,18
255,19
256,20
257,21
258,22
259,23
260,24
261,25
262,26
263,27
264,28
265,29
266,30
267,31
268,32
269,33
270,34
271,35
272,36
273,37
274,38
275,39
276,40
277,41
278,42
279,43
